Source,Target,Weight
Alia,Chani,17
Alia,Feyd-Rautha,12
Alia,Paul,89
Alia,Jamis,1
Alia,Stilgar,11
Alia,Harah,258
Alia,Leto,13
Alia,Otheym,9
Alia,Gurney,4
Alia,Shaddam,6
Aramsham,Paul,10
Chani,Paul,472
Chani,Stilgar,78
Chani,Jamis,40
Chani,Farok,8
Chani,Feyd-Rautha,11
Chani,Harah,39
Chani,Liet-Kynes,11
Chani,Leto,5
Chani,Gurney,19
Count,Feyd-Rautha,41
Count,Paul,1
Duncan,Paul,105
Duncan,Gurney,16
Duncan,Thufir,26
Duncan,Leto,43
Duncan,Stilgar,7
Duncan,Lady,1
Farok,Stilgar,6
Farok,Paul,46
Feyd-Rautha,Piter,187
Feyd-Rautha,Paul,335
Feyd-Rautha,Leto,11
Feyd-Rautha,Gurney,11
Feyd-Rautha,Thufir,10
Feyd-Rautha,Shaddam,4
Gurney,Paul,1250
Gurney,Leto,65
Gurney,Thufir,8
Gurney,Stilgar,128
Gurney,Jamis,2
Gurney,Otheym,1
Harah,Jamis,26
Harah,Stilgar,49
Harah,Paul,141
Harah,Leto,1
Jamis,Stilgar,320
Jamis,Paul,506
Jamis,Liet-Kynes,1
Korba,Paul,10
Korba,Stilgar,5
Korba,Otheym,5
Lady,Leto,26
Lady,Paul,19
Lady,Wellington,1
Lady,Thufir,1
Leto,Piter,82
Leto,Paul,385
Leto,Thufir,56
Leto,Wellington,16
Leto,Stilgar,52
Leto,Otheym,1
Liet-Kynes,Paul,49
Liet-Kynes,Stilgar,18
Liet-Kynes,Vladimir,5
Otheym,Paul,37
Otheym,Stilgar,9
Paul,Piter,57
Paul,Thufir,193
Paul,Wellington,34
Paul,Stilgar,2060
Paul,Vladimir,3
Stilgar,Thufir,9
Thufir,Wellington,9
