vertex_a,vertex_b,edge,distance
14360,22612,1,0
14158,22612,1,0.00952381
11848,12388,2,0.0190476
67653,12388,2,0.0285714
170758,12388,1,0.0380952
19353,12388,1,0.0476191
19354,12388,1,0.0571429
12540,12388,1,0.0666667
11461,12385,3,0.0761905
11461,12386,3,0.0857143
11461,216033,3,0.0952381
11461,11848,1,0.104762
11461,67653,1,0.114286
11461,242687,1,0.12381
11461,245880,1,0.133333
11461,83767,1,0.142857
11461,108100,1,0.152381
11461,22376,1,0.161905
11461,73178,1,0.171429
11465,12385,3,0.180952
11465,12386,3,0.190476
11465,216033,3,0.2
11465,11848,1,0.209524
11465,67653,1,0.219048
11465,242687,1,0.228571
11465,245880,1,0.238095
11465,83767,1,0.247619
11465,108100,1,0.257143
11465,22376,1,0.266667
11465,73178,1,0.27619
21872,12385,3,0.285714
21872,12386,3,0.295238
21872,216033,3,0.304762
21872,11461,3,0.314286
21872,11465,3,0.32381
22330,12385,3,0.333333
22330,12386,3,0.342857
22330,216033,3,0.352381
22330,11461,3,0.361905
22330,11465,3,0.371429
20411,22330,3,0.380952
109711,12385,3,0.390476
109711,12386,3,0.4
109711,216033,3,0.409524
109711,11461,3,0.419048
109711,11465,3,0.428571
60595,12385,3,0.438095
60595,12386,3,0.447619
60595,216033,3,0.457143
60595,11461,3,0.466667
60595,11465,3,0.476191
99167,109711,3,0.485714
99167,60595,3,0.495238
380928,109711,3,0.504762
380928,60595,3,0.514286
17356,12385,3,0.52381
17356,12386,3,0.533333
17356,216033,3,0.542857
17356,11461,3,0.552381
17356,11465,3,0.561905
17356,20411,3,0.571429
17356,99167,3,0.580952
17356,380928,3,0.590476
12387,12550,3,0.6
12387,12385,3,0.609524
12387,12386,3,0.619048
12387,216033,3,0.628571
12387,16842,3,0.638095
12387,21414,3,0.647619
12387,21415,3,0.657143
12387,21416,3,0.666667
12387,14360,2,0.676191
12387,14158,2,0.685714
12387,13649,2,0.695238
12387,13866,2,0.704762
12387,17295,2,0.714286
12387,16001,2,0.72381
12387,12995,1,0.733333
12387,13000,1,0.742857
12387,13001,1,0.752381
12387,19246,1,0.761905
12387,19268,1,0.771429
12387,19263,1,0.780952
12387,19274,1,0.790476
12387,11431,1,0.8
29875,170758,2,0.809524
29875,19353,2,0.819048
29875,19354,2,0.828571
29875,12540,2,0.838095
19294,17356,3,0.847619
58235,17356,3,0.857143
58235,19294,3,0.866667
58998,17356,3,0.876191
58998,19294,3,0.885714
58998,58235,3,0.895238
71740,17356,3,0.904762
71740,19294,3,0.914286
71740,58235,3,0.92381
71740,58998,3,0.933333
93742,19294,1,0.942857
93742,58235,1,0.952381
93742,58998,1,0.961905
93742,71740,1,0.971429
227377,20779,1,0.980952
