vertex_a,vertex_b,edge
109821,58992,1
14058,14071,1
18815,58992,1
16621,58992,1
18791,18787,2
18791,18788,2
12061,16644,1
12061,385643,1
12062,16644,1
12062,385643,1
17174,17194,3
17174,17195,3
17175,17194,3
17175,17195,3
19123,268591,2
14061,15160,2
14061,11905,2
14061,268591,2
12268,17194,1
12268,17195,1
12268,17174,1
12268,17175,1
12268,12259,1
12268,12260,1
12268,12262,1
12268,317677,1
12268,50908,1
12268,50909,1
12268,667277,1
625018,17194,1
625018,17195,1
625018,17174,1
625018,17175,1
625018,12259,1
625018,12260,1
625018,12262,1
625018,317677,1
625018,50908,1
625018,50909,1
625018,667277,1
12263,17194,1
12263,17195,1
12263,17174,1
12263,17175,1
12263,12259,1
12263,12260,1
12263,12262,1
12263,317677,1
12263,50908,1
12263,50909,1
12263,667277,1
14067,19128,2
14067,19123,2
14069,22371,3
14069,19123,2
56373,14061,1
18793,18792,1
14064,14061,1
14065,14061,1
